1,Customer#000000001,15,25-989-741-2988,711.56,BUILDING
2,Customer#000000002,13,23-768-687-3665,121.65,AUTOMOBILE
3,Customer#000000003,1,11-719-748-3364,7498.12,AUTOMOBILE
4,Customer#000000004,4,14-128-190-5944,2866.83,MACHINERY
5,Customer#000000005,3,13-750-942-6364,794.47,HOUSEHOLD
6,Customer#000000006,20,30-114-968-4951,7638.57,AUTOMOBILE
7,Customer#000000007,18,28-190-982-9759,9561.95,AUTOMOBILE
8,Customer#000000008,17,27-147-574-9335,6819.74,BUILDING
9,Customer#000000009,8,18-338-906-3675,8324.07,FURNITURE
10,Customer#000000010,5,15-741-346-9870,2753.54,HOUSEHOLD
11,Customer#000000011,23,33-464-151-3439,-272.6,BUILDING
12,Customer#000000012,13,23-791-276-1263,3396.49,HOUSEHOLD
13,Customer#000000013,3,13-761-547-5974,3857.34,BUILDING
14,Customer#000000014,1,11-845-129-3851,5266.3,FURNITURE
15,Customer#000000015,23,33-687-542-7601,2788.52,HOUSEHOLD
16,Customer#000000016,10,20-781-609-3107,4681.03,FURNITURE
17,Customer#000000017,2,12-970-682-3487,6.34,AUTOMOBILE
18,Customer#000000018,6,16-155-215-1315,5494.43,BUILDING
19,Customer#000000019,18,28-396-526-5053,8914.71,HOUSEHOLD
20,Customer#000000020,22,32-957-234-8742,7603.4,FURNITURE
21,Customer#000000021,8,18-902-614-8344,1428.25,MACHINERY
22,Customer#000000022,3,13-806-545-9701,591.98,MACHINERY
23,Customer#000000023,3,13-312-472-8245,3332.02,HOUSEHOLD
24,Customer#000000024,13,23-127-851-8031,9255.67,MACHINERY
25,Customer#000000025,12,22-603-468-3533,7133.7,FURNITURE
26,Customer#000000026,22,32-363-455-4837,5182.05,AUTOMOBILE
27,Customer#000000027,3,13-137-193-2709,5679.84,BUILDING
28,Customer#000000028,8,18-774-241-1462,1007.18,FURNITURE
29,Customer#000000029,0,10-773-203-7342,7618.27,FURNITURE
30,Customer#000000030,1,11-764-165-5076,9321.01,BUILDING
31,Customer#000000031,23,33-197-837-7094,5236.89,HOUSEHOLD
32,Customer#000000032,15,25-430-914-2194,3471.53,BUILDING
33,Customer#000000033,17,27-375-391-1280,-78.56,AUTOMOBILE
34,Customer#000000034,15,25-344-968-5422,8589.7,HOUSEHOLD
35,Customer#000000035,17,27-566-888-7431,1228.24,HOUSEHOLD
36,Customer#000000036,21,31-704-669-5769,4987.27,BUILDING
37,Customer#000000037,8,18-385-235-7162,-917.75,FURNITURE
38,Customer#000000038,12,22-306-880-7212,6345.11,HOUSEHOLD
39,Customer#000000039,2,12-387-467-6509,6264.31,AUTOMOBILE
40,Customer#000000040,3,13-652-915-8939,1335.3,BUILDING
41,Customer#000000041,10,20-917-711-4011,270.95,HOUSEHOLD
42,Customer#000000042,5,15-416-330-4175,8727.01,BUILDING
43,Customer#000000043,19,29-316-665-2897,9904.28,MACHINERY
44,Customer#000000044,16,26-190-260-5375,7315.94,AUTOMOBILE
45,Customer#000000045,9,19-715-298-9917,9983.38,AUTOMOBILE
46,Customer#000000046,6,16-357-681-2007,5744.59,AUTOMOBILE
47,Customer#000000047,2,12-427-271-9466,274.58,BUILDING
48,Customer#000000048,0,10-508-348-5882,3792.5,BUILDING
49,Customer#000000049,10,20-908-631-4424,4573.94,FURNITURE
50,Customer#000000050,6,16-658-112-3221,4266.13,MACHINERY
51,Customer#000000051,12,22-344-885-4251,855.87,FURNITURE
52,Customer#000000052,11,21-186-284-5998,5630.28,HOUSEHOLD
53,Customer#000000053,15,25-168-852-5363,4113.64,HOUSEHOLD
54,Customer#000000054,4,14-776-370-4745,868.9,AUTOMOBILE
55,Customer#000000055,10,20-180-440-8525,4572.11,MACHINERY
56,Customer#000000056,10,20-895-685-6920,6530.86,FURNITURE
57,Customer#000000057,21,31-835-306-1650,4151.93,AUTOMOBILE
58,Customer#000000058,13,23-244-493-2508,6478.46,HOUSEHOLD
59,Customer#000000059,1,11-355-584-3112,3458.6,MACHINERY
60,Customer#000000060,12,22-480-575-5866,2741.87,MACHINERY
